initial_set_size,initial_rmse_mean,initial_rmse_std,initial_rmse_se
100,0.52,0.14,0.04611998140127111
500,0.45,0.03,0.009936688657620207
600,0.45,0.03,0.010383736292259662
1000,0.44,0.02,0.005418654175292723
1500,0.44,0.02,0.006263168643372774
2000,0.44,0.02,0.007489382069510036
2500,0.44,0.01,0.004945071996540832
3000,0.44,0.01,0.0038458973007807692
