initial_set_size,initial_mae_mean,initial_mae_std,initial_mae_se
100,0.4,0.1,0.033462903951375786
500,0.34,0.02,0.0066155943563927285
600,0.33,0.02,0.00712417650717671
1000,0.33,0.01,0.004450492978962901
1500,0.32,0.02,0.005147177242330084
2000,0.32,0.02,0.005034062621927559
2500,0.32,0.01,0.003802562434051376
3000,0.33,0.01,0.002999279405922599
