dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,poprisk_0.5_updated_r2_mean,poprisk_0.5_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,100,0.17,0.1,0.21,0.1,0.29,0.09,0.28,0.15
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,200,0.17,0.1,0.28,0.09,0.37,0.06,0.36,0.05
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,300,0.17,0.1,0.3,0.09,0.44,0.05,0.4,0.02
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,400,0.17,0.1,0.33,0.09,0.46,0.03,0.41,0.04
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,500,0.17,0.1,0.35,0.09,0.47,0.02,0.44,0.04
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,1000,0.17,0.1,0.46,0.02,0.53,0.02,0.48,0.03
