dataset,initial_set,budget,initial_r2_mean,initial_r2_se,poprisk_updated_r2_mean,poprisk_updated_r2_se,random_updated_r2_mean,random_updated_r2_se,match_population_proportion_updated_r2_mean,match_population_proportion_updated_r2_se,stratified_updated_r2_mean,stratified_updated_r2_se
INDIA_SECC,cluster_sampling_10_points_per_cluster_1000_size,50,0.178,0.0159,0.1848,0.0226,0.1834,0.0195,,,,
INDIA_SECC,cluster_sampling_10_points_per_cluster_1000_size,100,0.178,0.0159,0.1785,0.0166,0.1881,0.0226,,,,
INDIA_SECC,cluster_sampling_10_points_per_cluster_1000_size,500,0.178,0.0159,0.1946,0.028,0.1813,0.0237,,,,
INDIA_SECC,cluster_sampling_5_points_per_cluster_100_size,10,0.0665,0.0119,0.0664,0.0205,0.0664,0.0205,,,,
INDIA_SECC,cluster_sampling_5_points_per_cluster_100_size,50,0.0665,0.0119,0.0406,0.019,0.1062,0.0052,,,,
INDIA_SECC,cluster_sampling_5_points_per_cluster_100_size,100,0.0665,0.0119,0.0462,0.0136,0.0696,0.0155,,,,
INDIA_SECC,cluster_sampling_5_points_per_cluster_100_size,500,0.0665,0.0119,0.0898,0.0143,0.0965,0.0042,,,,
INDIA_SECC,empty_initial_set,50,,,,,0.0357,0.0115,,,,
INDIA_SECC,empty_initial_set,100,,,,,0.0581,0.0135,,,,
INDIA_SECC,empty_initial_set,500,,,,,0.181,0.0089,,,,
USAVARS_POP,cluster_sampling_5_points_per_cluster_100_size,10,0.2752,0.0243,0.292,0.0295,0.2982,0.0288,,,,
USAVARS_POP,cluster_sampling_5_points_per_cluster_100_size,50,0.2773,0.0254,0.392,0.0225,0.3861,0.0202,,,,
USAVARS_POP,cluster_sampling_5_points_per_cluster_100_size,100,0.2773,0.0254,0.4182,0.0156,0.4418,0.0091,,,,
USAVARS_POP,cluster_sampling_5_points_per_cluster_100_size,500,0.2773,0.0254,0.5495,0.0047,0.5561,0.004,,,,
USAVARS_POP,convenience_sampling_probabilistic_500_size,10,0.1614,0.0162,0.1903,0.0217,0.1641,0.0233,,,,
USAVARS_POP,convenience_sampling_probabilistic_500_size,50,0.1614,0.0162,0.2812,0.0188,0.1776,0.0237,,,,
USAVARS_POP,convenience_sampling_probabilistic_500_size,100,0.1614,0.0162,0.3658,0.0119,0.197,0.021,,,,
USAVARS_POP,convenience_sampling_probabilistic_500_size,500,0.1614,0.0162,0.5168,0.0043,0.3281,0.0105,,,,
USAVARS_POP,empty_initial_set,10,,,0.0567,0.0255,0.1256,0.0336,0.0761,,0.0271,
USAVARS_POP,empty_initial_set,50,,,0.3542,0.0212,0.2541,0.0276,0.3349,,0.2405,
USAVARS_POP,empty_initial_set,100,,,0.3736,0.0118,0.3573,0.0303,0.4625,,,
USAVARS_POP,empty_initial_set,500,,,0.5723,0.0008,0.5662,0.0033,0.5149,,0.5219,
USAVARS_TC,cluster_sampling_5_points_per_cluster_200_size,10,0.7475,0.0048,0.7475,0.0075,0.7475,0.0075,,,,
USAVARS_TC,cluster_sampling_5_points_per_cluster_200_size,50,0.7475,0.0048,0.7254,0.0288,0.7484,0.0034,,,,
USAVARS_TC,cluster_sampling_5_points_per_cluster_200_size,100,0.7475,0.0048,0.768,0.0034,0.7631,0.0024,,,,
USAVARS_TC,cluster_sampling_5_points_per_cluster_200_size,500,0.7475,0.0048,0.7809,0.0178,0.8125,0.0041,,,,
USAVARS_TC,convenience_sampling_probabilistic_500_size,10,0.7008,0.0077,0.7237,0.0041,0.701,0.0122,,,,
USAVARS_TC,convenience_sampling_probabilistic_500_size,50,0.7008,0.0077,0.7792,0.0053,0.7215,0.0156,,,,
USAVARS_TC,convenience_sampling_probabilistic_500_size,100,0.7008,0.0077,0.8051,0.0052,0.7208,0.0166,,,,
USAVARS_TC,convenience_sampling_probabilistic_500_size,500,0.7008,0.0077,0.8458,0.0013,0.7773,0.014,,,,
USAVARS_TC,empty_initial_set,10,,,0.4154,0.0245,0.3136,0.0908,,,,
USAVARS_TC,empty_initial_set,50,,,0.5778,0.0367,0.5524,0.0506,,,,
USAVARS_TC,empty_initial_set,100,,,0.7268,0.0012,0.6574,0.0322,,,,
USAVARS_TC,empty_initial_set,500,,,0.8335,0.0006,0.8197,0.0053,,,,
