dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,poprisk_0.5_updated_r2_mean,poprisk_0.5_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,100,0.38,0.07,0.43,0.04,0.42,0.06,0.39,0.1
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,200,0.38,0.07,0.45,0.04,0.45,0.03,0.41,0.09
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,300,0.38,0.07,0.46,0.04,0.5,0.03,0.45,0.03
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,400,0.38,0.07,0.47,0.04,0.49,0.03,0.45,0.02
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,500,0.38,0.07,0.48,0.04,0.52,0.03,0.48,0.03
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,1000,0.38,0.07,0.5,0.03,0.54,0.03,0.51,0.01
