dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,poprisk_0.5_updated_r2_mean,poprisk_0.5_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std
USAVARS_POP,10_state_county_desired_10ppc_100_size,cluster_based_c1_10_c2_15,100,0.24,0.15,0.3,0.14,0.37,0.08,0.37,0.07
USAVARS_POP,10_state_county_desired_10ppc_100_size,cluster_based_c1_10_c2_15,500,0.24,0.15,0.39,0.07,0.53,0.01,0.52,0.02
USAVARS_POP,10_state_county_desired_10ppc_100_size,cluster_based_c1_10_c2_15,1000,0.24,0.15,0.46,0.02,0.58,0.01,0.55,0.02
