dataset,initial_set,cost_type,budget,random_updated_r2_mean,random_updated_r2_std,poprisk_0.5_updated_r2_mean,poprisk_0.5_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std
USAVARS_POP,empty_initial_set,cluster_based_c1_10_c2_15,100,0.25,0.0,0.08,0.0,0.08,0.08
USAVARS_POP,empty_initial_set,cluster_based_c1_10_c2_15,500,0.25,0.08,0.49,0.03,0.43,0.05
USAVARS_POP,empty_initial_set,cluster_based_c1_10_c2_15,1000,0.31,0.1,0.54,0.01,0.51,0.01
