dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,poprisk_0.5_updated_r2_mean,poprisk_0.5_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,100,0.63,0.07,0.78,0.02,0.79,0.02,0.76,0.04
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,200,0.63,0.07,0.8,0.01,0.81,0.01,0.78,0.05
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,300,0.63,0.07,0.81,0.01,0.82,0.0,0.8,0.03
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,400,0.63,0.07,0.82,0.01,0.83,0.01,0.81,0.02
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,500,0.63,0.07,0.84,0.01,0.85,0.0,0.82,0.02
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,1000,0.63,0.07,0.86,0.0,0.87,0.0,0.86,0.01
