initial_set_size,initial_rmse_mean,initial_rmse_std,initial_rmse_se
500,0.43,0.0,0.0
1000,0.44,0.0,2.7755575615628914e-17
1500,0.44,0.0,2.7755575615628914e-17
2000,0.43,0.0,0.0
2500,0.43,0.0,0.0
