dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_regions_0.5_updated_r2_mean,poprisk_regions_0.5_updated_r2_std,poprisk_regions_0.5_updated_r2_se,poprisk_regions_0.5_delta_r2_mean,poprisk_regions_0.5_delta_r2_se
TOGO_PH_H2O,2_strata_desired_25ppc_700_size,cluster_based_c1_25_c2_35,100,700,10.0,0.15,0.0,0.0,0.14,0.0,0.0022229259996680013,-0.0,0.0022229259996680018,0.14,0.01,0.006121405067466128,-0.0,0.006121405067466128
TOGO_PH_H2O,2_strata_desired_25ppc_700_size,cluster_based_c1_25_c2_35,200,700,10.0,0.15,0.0,0.0,0.14,0.0,0.002227464926772133,-0.0,0.002227464926772133,0.15,0.01,0.0055240021723384596,0.01,0.0055240021723384596
TOGO_PH_H2O,2_strata_desired_25ppc_700_size,cluster_based_c1_25_c2_35,300,700,10.0,0.15,0.0,0.0,0.14,0.01,0.0025962665502602005,-0.0,0.0025962665502602005,0.18,0.01,0.006825203293675578,0.04,0.006825203293675578
TOGO_PH_H2O,2_strata_desired_25ppc_700_size,cluster_based_c1_25_c2_35,400,700,10.0,0.15,0.0,0.0,0.15,0.01,0.003136335441243488,-0.0,0.003136335441243488,0.17,0.04,0.018054473129947603,0.02,0.018054473129947603
TOGO_PH_H2O,2_strata_desired_25ppc_700_size,cluster_based_c1_25_c2_35,500,700,10.0,0.15,0.0,0.0,0.16,0.02,0.008364113820363756,0.01,0.008364113820363756,0.21,0.02,0.008806724703316213,0.06,0.008806724703316213
TOGO_PH_H2O,2_strata_desired_25ppc_700_size,cluster_based_c1_25_c2_35,600,700,10.0,0.15,0.0,0.0,0.16,0.02,0.00823874990517372,0.02,0.00823874990517372,0.21,0.01,0.00617757233871041,0.07,0.006177572338710409
TOGO_PH_H2O,2_strata_desired_25ppc_700_size,cluster_based_c1_25_c2_35,700,700,10.0,0.15,0.0,0.0,0.16,0.01,0.005296470522904852,0.01,0.0052964705229048515,0.22,0.01,0.005140972670613996,0.07,0.005140972670613997
TOGO_PH_H2O,2_strata_desired_25ppc_700_size,cluster_based_c1_25_c2_35,800,700,10.0,0.15,0.0,0.0,0.15,0.01,0.004970955642529914,0.01,0.004970955642529913,0.22,0.01,0.0040613544538737325,0.08,0.0040613544538737325
TOGO_PH_H2O,2_strata_desired_25ppc_700_size,cluster_based_c1_25_c2_35,900,700,10.0,0.15,0.0,0.0,0.15,0.01,0.005775240254742654,0.01,0.005775240254742654,0.22,0.0,0.0015782902141241303,0.07,0.0015782902141241303
TOGO_PH_H2O,2_strata_desired_25ppc_700_size,cluster_based_c1_25_c2_35,1000,700,10.0,0.15,0.0,0.0,0.16,0.01,0.006756581976117806,0.01,0.006756581976117805,0.24,0.01,0.006468260971853255,0.09,0.006468260971853255
