dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_regions_0.5_updated_r2_mean,poprisk_regions_0.5_updated_r2_std,poprisk_regions_0.5_updated_r2_se,poprisk_regions_0.5_delta_r2_mean,poprisk_regions_0.5_delta_r2_se
TOGO_PH_H2O,2_strata_desired_25ppc_1400_size,cluster_based_c1_25_c2_35,100,1400,10.0,0.17,0.0,0.0,0.18,0.0,0.0016702095676890366,0.0,0.0016702095676890368,0.18,0.01,0.0064015154455800555,0.01,0.006401515445580055
TOGO_PH_H2O,2_strata_desired_25ppc_1400_size,cluster_based_c1_25_c2_35,200,1400,10.0,0.17,0.0,0.0,0.17,0.01,0.007286947234610662,-0.0,0.007286947234610662,0.16,0.04,0.02194066999888563,-0.02,0.02194066999888563
TOGO_PH_H2O,2_strata_desired_25ppc_1400_size,cluster_based_c1_25_c2_35,300,1400,10.0,0.17,0.0,0.0,0.17,0.01,0.006382429004697192,-0.0,0.0063824290046971925,0.19,0.03,0.015014506318890408,0.01,0.015014506318890408
TOGO_PH_H2O,2_strata_desired_25ppc_1400_size,cluster_based_c1_25_c2_35,400,1400,10.0,0.17,0.0,0.0,0.1,0.08,0.03857001425978476,-0.07,0.03857001425978476,0.2,0.04,0.022072086444194623,0.03,0.022072086444194623
TOGO_PH_H2O,2_strata_desired_25ppc_1400_size,cluster_based_c1_25_c2_35,500,1400,10.0,0.17,0.0,0.0,0.18,0.01,0.005511134184539516,0.01,0.005511134184539516,0.23,0.0,0.0016572265988693273,0.06,0.0016572265988693273
TOGO_PH_H2O,2_strata_desired_25ppc_1400_size,cluster_based_c1_25_c2_35,600,1400,10.0,0.17,0.0,0.0,0.18,0.01,0.0028382388905798597,0.01,0.00283823889057986,0.22,0.01,0.005444226299484619,0.05,0.0054442262994846185
TOGO_PH_H2O,2_strata_desired_25ppc_1400_size,cluster_based_c1_25_c2_35,700,1400,10.0,0.17,0.0,0.0,0.18,0.01,0.0029246196333882445,0.01,0.0029246196333882445,0.23,0.01,0.004360114677390951,0.05,0.004360114677390951
TOGO_PH_H2O,2_strata_desired_25ppc_1400_size,cluster_based_c1_25_c2_35,800,1400,10.0,0.17,0.0,0.0,0.19,0.01,0.0031126516027335928,0.01,0.0031126516027335928,0.25,0.0,0.0012730278865759356,0.07,0.0012730278865759356
TOGO_PH_H2O,2_strata_desired_25ppc_1400_size,cluster_based_c1_25_c2_35,900,1400,10.0,0.17,0.0,0.0,0.19,0.01,0.0047543033138410466,0.01,0.0047543033138410466,0.25,0.01,0.006040480113368469,0.07,0.006040480113368469
TOGO_PH_H2O,2_strata_desired_25ppc_1400_size,cluster_based_c1_25_c2_35,1000,1400,10.0,0.17,0.0,0.0,0.17,0.03,0.014945581286788412,-0.01,0.014945581286788412,0.24,0.01,0.004385886455438623,0.07,0.004385886455438623
