dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_regions_0.5_updated_r2_mean,poprisk_regions_0.5_updated_r2_std,poprisk_regions_0.5_updated_r2_se,poprisk_regions_0.5_delta_r2_mean,poprisk_regions_0.5_delta_r2_se
TOGO_PH_H2O,2_strata_desired_25ppc_600_size,cluster_based_c1_25_c2_35,100,600,10.0,0.12,0.0,6.938893903907228e-18,0.1,0.02,0.01191062550834338,-0.02,0.01191062550834338,0.12,0.05,0.024275143665898252,0.01,0.024275143665898256
TOGO_PH_H2O,2_strata_desired_25ppc_600_size,cluster_based_c1_25_c2_35,200,600,10.0,0.12,0.0,6.938893903907228e-18,0.12,0.04,0.020783166265032862,0.0,0.020783166265032862,0.13,0.02,0.011222628925523642,0.01,0.011222628925523644
TOGO_PH_H2O,2_strata_desired_25ppc_600_size,cluster_based_c1_25_c2_35,300,600,10.0,0.12,0.0,6.938893903907228e-18,0.12,0.04,0.02226199901176891,0.0,0.022261999011768906,0.17,0.01,0.003977888887337101,0.06,0.003977888887337102
TOGO_PH_H2O,2_strata_desired_25ppc_600_size,cluster_based_c1_25_c2_35,400,600,10.0,0.12,0.0,6.938893903907228e-18,0.11,0.03,0.015775341517697803,-0.01,0.0157753415176978,0.14,0.04,0.018185351247638856,0.03,0.018185351247638856
TOGO_PH_H2O,2_strata_desired_25ppc_600_size,cluster_based_c1_25_c2_35,500,600,10.0,0.12,0.0,6.938893903907228e-18,0.13,0.05,0.02327489205130713,0.02,0.02327489205130713,0.19,0.04,0.019407869537896215,0.07,0.01940786953789622
TOGO_PH_H2O,2_strata_desired_25ppc_600_size,cluster_based_c1_25_c2_35,600,600,10.0,0.12,0.0,6.938893903907228e-18,0.14,0.04,0.019719797159200192,0.02,0.01971979715920019,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_600_size,cluster_based_c1_25_c2_35,700,600,10.0,0.12,0.0,6.938893903907228e-18,0.14,0.04,0.019960826636189193,0.02,0.019960826636189193,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_600_size,cluster_based_c1_25_c2_35,800,600,10.0,0.12,0.0,6.938893903907228e-18,0.13,0.04,0.020009687653734128,0.01,0.020009687653734128,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_600_size,cluster_based_c1_25_c2_35,900,600,10.0,0.12,0.0,6.938893903907228e-18,0.11,0.03,0.012509292545943594,-0.0,0.012509292545943594,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_600_size,cluster_based_c1_25_c2_35,1000,600,10.0,0.12,0.0,6.938893903907228e-18,0.12,0.03,0.01350745719963606,0.0,0.01350745719963606,,,,,
