initial_set_size,initial_mse_mean,initial_mse_std,initial_mse_se
500,0.19,0.0,0.0
1000,0.2,0.0,0.0
1500,0.2,0.0,0.0
2000,0.18,0.0,0.0
2500,0.18,0.0,0.0
