dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_regions_0.5_updated_r2_mean,poprisk_regions_0.5_updated_r2_std,poprisk_regions_0.5_updated_r2_se,poprisk_regions_0.5_delta_r2_mean,poprisk_regions_0.5_delta_r2_se
TOGO_PH_H2O,2_strata_desired_25ppc_800_size,cluster_based_c1_25_c2_35,100,800,10.0,0.15,0.0,0.0,0.16,0.0,0.0010022973610660675,0.0,0.0010022973610660675,0.16,0.01,0.00304844222513729,0.01,0.00304844222513729
TOGO_PH_H2O,2_strata_desired_25ppc_800_size,cluster_based_c1_25_c2_35,200,800,10.0,0.15,0.0,0.0,0.16,0.0,0.0022049943310584724,0.01,0.0022049943310584724,0.18,0.01,0.0036673423619836745,0.02,0.0036673423619836745
TOGO_PH_H2O,2_strata_desired_25ppc_800_size,cluster_based_c1_25_c2_35,300,800,10.0,0.15,0.0,0.0,0.16,0.01,0.0027638017295023186,0.01,0.0027638017295023186,0.16,0.06,0.030830293543850668,0.0,0.030830293543850668
TOGO_PH_H2O,2_strata_desired_25ppc_800_size,cluster_based_c1_25_c2_35,400,800,10.0,0.15,0.0,0.0,0.16,0.01,0.003413151036798691,0.01,0.003413151036798691,0.21,0.01,0.004885652464103441,0.06,0.004885652464103441
TOGO_PH_H2O,2_strata_desired_25ppc_800_size,cluster_based_c1_25_c2_35,500,800,10.0,0.15,0.0,0.0,0.17,0.02,0.008559439233968543,0.02,0.008559439233968543,0.22,0.01,0.00722458303295076,0.07,0.00722458303295076
TOGO_PH_H2O,2_strata_desired_25ppc_800_size,cluster_based_c1_25_c2_35,600,800,10.0,0.15,0.0,0.0,0.16,0.01,0.0028715849282234343,0.01,0.0028715849282234343,0.22,0.01,0.0032396913433226935,0.07,0.0032396913433226935
TOGO_PH_H2O,2_strata_desired_25ppc_800_size,cluster_based_c1_25_c2_35,700,800,10.0,0.15,0.0,0.0,0.17,0.01,0.006480077160034437,0.01,0.006480077160034437,0.21,0.03,0.012519161313762198,0.06,0.012519161313762198
TOGO_PH_H2O,2_strata_desired_25ppc_800_size,cluster_based_c1_25_c2_35,800,800,10.0,0.15,0.0,0.0,0.17,0.01,0.005025196513570388,0.02,0.005025196513570388,0.23,0.0,0.0014224626532883021,0.08,0.0014224626532883021
TOGO_PH_H2O,2_strata_desired_25ppc_800_size,cluster_based_c1_25_c2_35,900,800,10.0,0.15,0.0,0.0,0.17,0.01,0.004817260632351127,0.01,0.004817260632351127,0.22,0.03,0.013071434504292176,0.06,0.013071434504292174
TOGO_PH_H2O,2_strata_desired_25ppc_800_size,cluster_based_c1_25_c2_35,1000,800,10.0,0.15,0.0,0.0,0.17,0.01,0.005127514017533249,0.02,0.005127514017533249,0.23,0.02,0.009033692489785115,0.08,0.009033692489785115
