dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_regions_0.5_updated_r2_mean,poprisk_regions_0.5_updated_r2_std,poprisk_regions_0.5_updated_r2_se,poprisk_regions_0.5_delta_r2_mean,poprisk_regions_0.5_delta_r2_se
TOGO_PH_H2O,2_strata_desired_25ppc_1100_size,cluster_based_c1_25_c2_35,100,1100,10.0,0.15,0.0,0.0,0.15,0.0,0.001068924693325023,0.0,0.001068924693325023,0.17,0.01,0.005446246413815664,0.02,0.005446246413815664
TOGO_PH_H2O,2_strata_desired_25ppc_1100_size,cluster_based_c1_25_c2_35,200,1100,10.0,0.15,0.0,0.0,0.15,0.0,0.0013941305534274722,0.0,0.0013941305534274726,0.2,0.01,0.006251991682656014,0.05,0.0062519916826560135
TOGO_PH_H2O,2_strata_desired_25ppc_1100_size,cluster_based_c1_25_c2_35,300,1100,10.0,0.15,0.0,0.0,0.15,0.0,0.0016243768035772985,0.0,0.0016243768035772987,0.22,0.01,0.0026763034207652877,0.07,0.002676303420765288
TOGO_PH_H2O,2_strata_desired_25ppc_1100_size,cluster_based_c1_25_c2_35,400,1100,10.0,0.15,0.0,0.0,0.17,0.02,0.0091324695455282,0.02,0.0091324695455282,0.23,0.0,0.002320043103047874,0.08,0.0023200431030478744
TOGO_PH_H2O,2_strata_desired_25ppc_1100_size,cluster_based_c1_25_c2_35,500,1100,10.0,0.15,0.0,0.0,0.17,0.01,0.006624696219450366,0.02,0.006624696219450366,0.24,0.0,0.001944839324982917,0.09,0.001944839324982917
TOGO_PH_H2O,2_strata_desired_25ppc_1100_size,cluster_based_c1_25_c2_35,600,1100,10.0,0.15,0.0,0.0,0.19,0.01,0.006770406191654972,0.03,0.006770406191654972,0.24,0.01,0.004828457310570323,0.08,0.004828457310570323
TOGO_PH_H2O,2_strata_desired_25ppc_1100_size,cluster_based_c1_25_c2_35,700,1100,10.0,0.15,0.0,0.0,0.18,0.01,0.007235219416161476,0.03,0.007235219416161476,0.24,0.01,0.0039861008517096,0.09,0.0039861008517096
TOGO_PH_H2O,2_strata_desired_25ppc_1100_size,cluster_based_c1_25_c2_35,800,1100,10.0,0.15,0.0,0.0,0.19,0.01,0.0062147727231170735,0.04,0.0062147727231170735,0.24,0.01,0.0066587236014119065,0.09,0.006658723601411907
TOGO_PH_H2O,2_strata_desired_25ppc_1100_size,cluster_based_c1_25_c2_35,900,1100,10.0,0.15,0.0,0.0,0.19,0.01,0.004831293822569689,0.04,0.004831293822569689,0.25,0.0,0.0014474114826130134,0.1,0.0014474114826130134
TOGO_PH_H2O,2_strata_desired_25ppc_1100_size,cluster_based_c1_25_c2_35,1000,1100,10.0,0.15,0.0,0.0,0.19,0.01,0.0057301483401391955,0.04,0.0057301483401391955,0.25,0.01,0.005825341191724311,0.09,0.005825341191724311
