dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_regions_0.5_updated_r2_mean,poprisk_regions_0.5_updated_r2_std,poprisk_regions_0.5_updated_r2_se,poprisk_regions_0.5_delta_r2_mean,poprisk_regions_0.5_delta_r2_se
TOGO_PH_H2O,2_strata_desired_25ppc_1300_size,cluster_based_c1_25_c2_35,100,1300,10.0,0.16,0.0,0.0,0.1,0.06,0.031061342533766946,-0.06,0.031061342533766953,0.17,0.01,0.005933346441933083,0.01,0.005933346441933083
TOGO_PH_H2O,2_strata_desired_25ppc_1300_size,cluster_based_c1_25_c2_35,200,1300,10.0,0.16,0.0,0.0,0.16,0.0,0.0016684124190379295,0.0,0.0016684124190379295,0.16,0.04,0.02209059528396643,0.01,0.02209059528396643
TOGO_PH_H2O,2_strata_desired_25ppc_1300_size,cluster_based_c1_25_c2_35,300,1300,10.0,0.16,0.0,0.0,0.16,0.0,0.0015705413079572254,0.0,0.0015705413079572254,0.18,0.04,0.021331816612750073,0.03,0.021331816612750073
TOGO_PH_H2O,2_strata_desired_25ppc_1300_size,cluster_based_c1_25_c2_35,400,1300,10.0,0.16,0.0,0.0,0.17,0.01,0.003471397413146472,0.01,0.003471397413146472,0.22,0.01,0.005460164832676756,0.07,0.005460164832676756
TOGO_PH_H2O,2_strata_desired_25ppc_1300_size,cluster_based_c1_25_c2_35,500,1300,10.0,0.16,0.0,0.0,0.14,0.06,0.028629187903257053,-0.01,0.028629187903257053,0.23,0.0,0.002012361796496844,0.08,0.002012361796496844
TOGO_PH_H2O,2_strata_desired_25ppc_1300_size,cluster_based_c1_25_c2_35,600,1300,10.0,0.16,0.0,0.0,0.17,0.01,0.004778765530971364,0.02,0.004778765530971363,0.23,0.01,0.006265349152281939,0.07,0.00626534915228194
TOGO_PH_H2O,2_strata_desired_25ppc_1300_size,cluster_based_c1_25_c2_35,700,1300,10.0,0.16,0.0,0.0,0.16,0.03,0.015214387927222045,0.0,0.015214387927222048,0.24,0.01,0.0046590127709633935,0.08,0.0046590127709633935
TOGO_PH_H2O,2_strata_desired_25ppc_1300_size,cluster_based_c1_25_c2_35,800,1300,10.0,0.16,0.0,0.0,0.18,0.01,0.005327006664159523,0.02,0.005327006664159524,0.25,0.0,0.0017297398648351693,0.09,0.0017297398648351693
TOGO_PH_H2O,2_strata_desired_25ppc_1300_size,cluster_based_c1_25_c2_35,900,1300,10.0,0.16,0.0,0.0,0.18,0.01,0.0061907511660540815,0.02,0.0061907511660540815,0.23,0.01,0.006722097886820749,0.08,0.006722097886820749
TOGO_PH_H2O,2_strata_desired_25ppc_1300_size,cluster_based_c1_25_c2_35,1000,1300,10.0,0.16,0.0,0.0,0.18,0.01,0.006838830309343844,0.03,0.006838830309343844,0.25,0.0,0.001976714445740709,0.09,0.001976714445740709
