dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_regions_0.5_updated_r2_mean,poprisk_regions_0.5_updated_r2_std,poprisk_regions_0.5_updated_r2_se,poprisk_regions_0.5_delta_r2_mean,poprisk_regions_0.5_delta_r2_se
TOGO_PH_H2O,2_strata_desired_25ppc_900_size,cluster_based_c1_25_c2_35,100,900,10.0,0.17,0.0,0.0,0.18,0.01,0.005246046130182236,0.01,0.005246046130182236,0.17,0.01,0.004876125511099975,-0.0,0.004876125511099975
TOGO_PH_H2O,2_strata_desired_25ppc_900_size,cluster_based_c1_25_c2_35,200,900,10.0,0.17,0.0,0.0,0.18,0.02,0.007651771036825397,0.01,0.007651771036825397,0.19,0.01,0.0029548942451465194,0.02,0.0029548942451465194
TOGO_PH_H2O,2_strata_desired_25ppc_900_size,cluster_based_c1_25_c2_35,300,900,10.0,0.17,0.0,0.0,0.17,0.01,0.002918664077964437,0.01,0.002918664077964437,0.19,0.04,0.0223402417175822,0.02,0.022340241717582202
TOGO_PH_H2O,2_strata_desired_25ppc_900_size,cluster_based_c1_25_c2_35,400,900,10.0,0.17,0.0,0.0,0.18,0.01,0.0030186752061127763,0.01,0.0030186752061127763,0.21,0.04,0.018114066357391982,0.04,0.018114066357391982
TOGO_PH_H2O,2_strata_desired_25ppc_900_size,cluster_based_c1_25_c2_35,500,900,10.0,0.17,0.0,0.0,0.17,0.01,0.005820446718251097,0.0,0.005820446718251097,0.23,0.01,0.005230908142951852,0.06,0.005230908142951852
TOGO_PH_H2O,2_strata_desired_25ppc_900_size,cluster_based_c1_25_c2_35,600,900,10.0,0.17,0.0,0.0,0.18,0.01,0.0069109623063651595,0.01,0.0069109623063651595,0.23,0.01,0.0032108254390421156,0.06,0.003210825439042115
TOGO_PH_H2O,2_strata_desired_25ppc_900_size,cluster_based_c1_25_c2_35,700,900,10.0,0.17,0.0,0.0,0.18,0.01,0.007463444245119002,0.01,0.007463444245119002,0.23,0.01,0.004534048963123359,0.06,0.004534048963123359
TOGO_PH_H2O,2_strata_desired_25ppc_900_size,cluster_based_c1_25_c2_35,800,900,10.0,0.17,0.0,0.0,0.18,0.01,0.005092602478104884,0.01,0.005092602478104884,0.24,0.0,0.0006792643079096682,0.07,0.0006792643079096682
TOGO_PH_H2O,2_strata_desired_25ppc_900_size,cluster_based_c1_25_c2_35,900,900,10.0,0.17,0.0,0.0,0.19,0.01,0.004181698219623223,0.02,0.004181698219623222,0.25,0.01,0.0030299504946450866,0.08,0.0030299504946450866
TOGO_PH_H2O,2_strata_desired_25ppc_900_size,cluster_based_c1_25_c2_35,1000,900,10.0,0.17,0.0,0.0,0.19,0.02,0.00838596446450854,0.02,0.008385964464508542,0.25,0.0,0.0023926136336650805,0.08,0.0023926136336650805
