dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,initial_mse_mean,initial_mse_std,initial_mse_se,initial_rmse_mean,initial_rmse_std,initial_rmse_se,initial_mae_mean,initial_mae_std,initial_mae_se,poprisk_image_clusters_3_0.5_updated_r2_mean,poprisk_image_clusters_3_0.5_updated_r2_std,poprisk_image_clusters_3_0.5_updated_r2_se,poprisk_image_clusters_3_0.5_delta_r2_mean,poprisk_image_clusters_3_0.5_delta_r2_se,poprisk_image_clusters_3_0.5_updated_mse_mean,poprisk_image_clusters_3_0.5_updated_mse_std,poprisk_image_clusters_3_0.5_updated_mse_se,poprisk_image_clusters_3_0.5_delta_mse_mean,poprisk_image_clusters_3_0.5_delta_mse_se,poprisk_image_clusters_3_0.5_updated_rmse_mean,poprisk_image_clusters_3_0.5_updated_rmse_std,poprisk_image_clusters_3_0.5_updated_rmse_se,poprisk_image_clusters_3_0.5_delta_rmse_mean,poprisk_image_clusters_3_0.5_delta_rmse_se,poprisk_image_clusters_3_0.5_updated_mae_mean,poprisk_image_clusters_3_0.5_updated_mae_std,poprisk_image_clusters_3_0.5_updated_mae_se,poprisk_image_clusters_3_0.5_delta_mae_mean,poprisk_image_clusters_3_0.5_delta_mae_se,default_updated_r2_mean,default_updated_r2_std,default_updated_r2_se,default_delta_r2_mean,default_delta_r2_se,default_updated_mse_mean,default_updated_mse_std,default_updated_mse_se,default_delta_mse_mean,default_delta_mse_se,default_updated_rmse_mean,default_updated_rmse_std,default_updated_rmse_se,default_delta_rmse_mean,default_delta_rmse_se,default_updated_mae_mean,default_updated_mae_std,default_updated_mae_se,default_delta_mae_mean,default_delta_mae_se
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,100,1000,10.0,0.13,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.33,0.0,0.0,0.19,0.03,0.012765986056705527,0.06,0.012765986056705527,0.18,0.01,0.0028800347220129118,0.01,0.0028800347220129113,0.43,0.01,0.003347387040663212,0.02,0.003347387040663212,0.32,0.0,0.0023298927013920556,0.01,0.0023298927013920556,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,200,1000,10.0,0.13,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.33,0.0,0.0,0.2,0.01,0.005427282929790929,0.07,0.005427282929790929,0.18,0.0,0.0012236829654775781,0.02,0.0012236829654775781,0.43,0.0,0.0014399305538809841,0.02,0.0014399305538809841,0.31,0.0,0.0009941830817309315,0.01,0.0009941830817309315,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,300,1000,10.0,0.13,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.33,0.0,0.0,0.21,0.01,0.005701491033054426,0.08,0.005701491033054425,0.18,0.0,0.0012839003076563205,0.02,0.0012839003076563205,0.42,0.0,0.0015338187637397027,0.02,0.0015338187637397027,0.31,0.0,0.0013397761006974302,0.02,0.0013397761006974302,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,400,1000,10.0,0.13,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.33,0.0,0.0,0.22,0.01,0.006929401128524747,0.09,0.006929401128524747,0.18,0.0,0.001570668647423766,0.02,0.001570668647423766,0.42,0.0,0.0018559094805512492,0.02,0.0018559094805512492,0.31,0.0,0.001497865147468221,0.02,0.0014978651474682207,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,500,1000,10.0,0.13,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.33,0.0,0.0,0.23,0.0,0.002328733561401991,0.1,0.002328733561401991,0.17,0.0,0.0005297169055259606,0.02,0.0005297169055259606,0.42,0.0,0.0006337191807101915,0.03,0.0006337191807101915,0.31,0.0,0.00067275552766217,0.02,0.00067275552766217,0.14,0.0,0.0,0.010000000000000009,0.0,0.2,0.0,0.0,0.0,0.0,0.44,0.0,2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.32,0.0,0.0,0.010000000000000009,0.0
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,600,1000,10.0,0.13,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.33,0.0,0.0,0.24,0.0,0.0013406714735534552,0.11,0.0013406714735534552,0.17,0.0,0.0003082207001484491,0.02,0.0003082207001484491,0.41,0.0,0.00035213633723318004,0.03,0.00035213633723318004,0.3,0.0,0.0005209606511052475,0.02,0.0005209606511052475,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,700,1000,10.0,0.13,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.33,0.0,0.0,0.24,0.01,0.0042909206471339004,0.11,0.0042909206471339004,0.17,0.0,0.0009666436778875639,0.02,0.0009666436778875639,0.42,0.0,0.0011581882403132917,0.03,0.0011581882403132917,0.31,0.0,0.0010514751542475846,0.02,0.0010514751542475846,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,800,1000,10.0,0.13,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.33,0.0,0.0,0.24,0.0,0.002127580785775245,0.11,0.002127580785775245,0.17,0.0,0.0004770744176750644,0.02,0.0004770744176750644,0.41,0.0,0.0005770615218501383,0.03,0.0005770615218501383,0.31,0.0,0.00040124805295477765,0.02,0.00040124805295477765,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,900,1000,10.0,0.13,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.33,0.0,0.0,0.24,0.01,0.0030206621790594182,0.11,0.0030206621790594182,0.17,0.0,0.0006938299503480642,0.02,0.0006938299503480642,0.42,0.0,0.0008093207028119278,0.03,0.0008093207028119278,0.31,0.0,0.0007563068160475619,0.02,0.0007563068160475619,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,1000,1000,10.0,0.13,0.0,0.0,0.2,0.0,0.0,0.44,0.0,0.0,0.33,0.0,0.0,0.24,0.02,0.011025679117405878,0.11,0.011025679117405878,0.17,0.0,0.0024832639811345086,0.02,0.0024832639811345086,0.41,0.01,0.002995229540452619,0.03,0.002995229540452619,0.31,0.0,0.0022699339197430335,0.02,0.002269933919743033,0.19,0.0,0.0,0.06,0.0,0.18,0.0,0.0,0.020000000000000018,0.0,0.43,0.0,0.0,0.010000000000000009,0.0,0.32,0.0,0.0,0.010000000000000009,0.0
