initial_set_size,initial_mae_mean,initial_mae_std,initial_mae_se
500,0.32,0.0,0.0
1000,0.33,0.0,0.0
1500,0.32,0.0,0.0
2000,0.32,0.0,0.0
2500,0.31,0.0,0.0
