initial_set_size,initial_r2_mean,initial_r2_std,initial_r2_se
1000,-0.71,0.0,0.0
2000,0.11,0.0,6.938893903907228e-18
3000,0.22,0.0,0.0
4000,0.22,0.0,1.3877787807814457e-17
5000,0.25,0.0,1.3877787807814457e-17
