dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,initial_mse_mean,initial_mse_std,initial_mse_se,initial_rmse_mean,initial_rmse_std,initial_rmse_se,initial_mae_mean,initial_mae_std,initial_mae_se,poprisk_image_clusters_3_0.5_updated_r2_mean,poprisk_image_clusters_3_0.5_updated_r2_std,poprisk_image_clusters_3_0.5_updated_r2_se,poprisk_image_clusters_3_0.5_delta_r2_mean,poprisk_image_clusters_3_0.5_delta_r2_se,poprisk_image_clusters_3_0.5_updated_mse_mean,poprisk_image_clusters_3_0.5_updated_mse_std,poprisk_image_clusters_3_0.5_updated_mse_se,poprisk_image_clusters_3_0.5_delta_mse_mean,poprisk_image_clusters_3_0.5_delta_mse_se,poprisk_image_clusters_3_0.5_updated_rmse_mean,poprisk_image_clusters_3_0.5_updated_rmse_std,poprisk_image_clusters_3_0.5_updated_rmse_se,poprisk_image_clusters_3_0.5_delta_rmse_mean,poprisk_image_clusters_3_0.5_delta_rmse_se,poprisk_image_clusters_3_0.5_updated_mae_mean,poprisk_image_clusters_3_0.5_updated_mae_std,poprisk_image_clusters_3_0.5_updated_mae_se,poprisk_image_clusters_3_0.5_delta_mae_mean,poprisk_image_clusters_3_0.5_delta_mae_se,default_updated_r2_mean,default_updated_r2_std,default_updated_r2_se,default_delta_r2_mean,default_delta_r2_se,default_updated_mse_mean,default_updated_mse_std,default_updated_mse_se,default_delta_mse_mean,default_delta_mse_se,default_updated_rmse_mean,default_updated_rmse_std,default_updated_rmse_se,default_delta_rmse_mean,default_delta_rmse_se,default_updated_mae_mean,default_updated_mae_std,default_updated_mae_se,default_delta_mae_mean,default_delta_mae_se
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,100,2000,10.0,0.18,0.0,0.0,0.18,0.0,0.0,0.43,0.0,2.7755575615628914e-17,0.32,0.0,0.0,0.19,0.03,0.014948230664530167,0.0,0.014948230664530167,0.18,0.01,0.003377188179536342,0.0,0.003377188179536342,0.43,0.01,0.0038988972800011,0.0,0.0038988972800010997,0.32,0.01,0.003254012907165547,-0.0,0.003254012907165547,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,200,2000,10.0,0.18,0.0,0.0,0.18,0.0,0.0,0.43,0.0,2.7755575615628914e-17,0.32,0.0,0.0,0.21,0.0,0.00036193922141707985,0.02,0.00036193922141707985,0.18,0.0,8.000000000000125e-05,0.01,8.000000000000125e-05,0.42,0.0,0.00011224972160321479,0.01,0.00011224972160321477,0.31,0.0,0.00016852299546352804,0.0,0.00016852299546352807,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,300,2000,10.0,0.18,0.0,0.0,0.18,0.0,0.0,0.43,0.0,2.7755575615628914e-17,0.32,0.0,0.0,0.21,0.03,0.012592791588841612,0.02,0.012592791588841612,0.18,0.01,0.0028416544476765637,0.01,0.002841654447676564,0.42,0.01,0.003330855745900751,0.01,0.003330855745900751,0.31,0.01,0.002849807011009687,0.0,0.0028498070110096873,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,400,2000,10.0,0.18,0.0,0.0,0.18,0.0,0.0,0.43,0.0,2.7755575615628914e-17,0.32,0.0,0.0,0.2,0.03,0.013258680175643425,0.02,0.013258680175643425,0.18,0.01,0.0030112455894529782,0.0,0.0030112455894529782,0.42,0.01,0.0035317984087430594,0.01,0.0035317984087430594,0.31,0.01,0.0028536643110218794,0.0,0.0028536643110218794,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,500,2000,10.0,0.18,0.0,0.0,0.18,0.0,0.0,0.43,0.0,2.7755575615628914e-17,0.32,0.0,0.0,0.22,0.02,0.01244264441346774,0.03,0.012442644413467738,0.18,0.01,0.0028162031176745764,0.01,0.002816203117674577,0.42,0.01,0.0033112837389749597,0.01,0.0033112837389749597,0.31,0.01,0.002824606167238189,0.01,0.0028246061672381898,0.2,0.0,0.0,0.020000000000000018,0.0,0.18,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.010000000000000009,0.0
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,600,2000,10.0,0.18,0.0,0.0,0.18,0.0,0.0,0.43,0.0,2.7755575615628914e-17,0.32,0.0,0.0,0.21,0.03,0.015451135880575251,0.02,0.015451135880575251,0.18,0.01,0.0034963695456859244,0.0,0.0034963695456859244,0.42,0.01,0.004133231181533404,0.01,0.004133231181533404,0.31,0.01,0.003318885355055218,0.0,0.003318885355055218,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,700,2000,10.0,0.18,0.0,0.0,0.18,0.0,0.0,0.43,0.0,2.7755575615628914e-17,0.32,0.0,0.0,0.22,0.02,0.00997599117882529,0.03,0.00997599117882529,0.18,0.0,0.002264420455657473,0.01,0.002264420455657473,0.42,0.01,0.0026701310829245835,0.01,0.0026701310829245835,0.31,0.0,0.002265965577849762,0.01,0.002265965577849762,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,800,2000,10.0,0.18,0.0,0.0,0.18,0.0,0.0,0.43,0.0,2.7755575615628914e-17,0.32,0.0,0.0,0.21,0.03,0.013140144595855862,0.03,0.013140144595855862,0.18,0.01,0.002971699850254057,0.01,0.002971699850254057,0.42,0.01,0.0035124065823876403,0.01,0.003512406582387641,0.31,0.01,0.0028106227068036022,0.0,0.0028106227068036022,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,900,2000,10.0,0.18,0.0,0.0,0.18,0.0,0.0,0.43,0.0,2.7755575615628914e-17,0.32,0.0,0.0,0.23,0.02,0.008354220490267175,0.05,0.008354220490267175,0.17,0.0,0.0018858950129845503,0.01,0.0018858950129845503,0.42,0.0,0.002282016651998848,0.01,0.0022820166519988486,0.31,0.0,0.0018235679312819664,0.01,0.0018235679312819664,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,1000,2000,10.0,0.18,0.0,0.0,0.18,0.0,0.0,0.43,0.0,2.7755575615628914e-17,0.32,0.0,0.0,0.24,0.02,0.00802498598129617,0.06,0.00802498598129617,0.17,0.0,0.0018193405398660232,0.01,0.0018193405398660232,0.41,0.0,0.0021931712199461293,0.01,0.0021931712199461293,0.3,0.0,0.001750314257497779,0.01,0.001750314257497779,,,,,,,,,,,,,,,,,,,,
