filename,sample_size,seed,source,r2
IDS_region_28_400_points_seed_1.pkl,400,,region_based,-46.603973355433176
IDS_region_28_400_points_seed_1213.pkl,400,,region_based,-0.7446091873939049
IDS_region_28_400_points_seed_123.pkl,400,,region_based,-0.6470134846857927
IDS_region_28_400_points_seed_1234.pkl,400,,region_based,-0.6355694837806178
IDS_region_28_400_points_seed_1415.pkl,400,,region_based,-0.8210461009393122
IDS_region_28_400_points_seed_42.pkl,400,,region_based,-0.8007695258384329
IDS_region_28_400_points_seed_456.pkl,400,,region_based,-3.9859259172695847
IDS_region_28_400_points_seed_5678.pkl,400,,region_based,-1.3131535219554975
IDS_region_28_400_points_seed_789.pkl,400,,region_based,-0.6491299706109281
IDS_region_28_400_points_seed_9101.pkl,400,,region_based,-0.8717983427675848
