filename,sample_size,seed,source,r2
IDS_top50_urban_100_points_probabilistic_seed_1.pkl,100,,urban_based,-0.1357234620753444
IDS_top50_urban_100_points_probabilistic_seed_1213.pkl,100,,urban_based,-0.1901925254740908
IDS_top50_urban_100_points_probabilistic_seed_123.pkl,100,,urban_based,-0.9576191710810738
IDS_top50_urban_100_points_probabilistic_seed_1234.pkl,100,,urban_based,-2.038201549265684
IDS_top50_urban_100_points_probabilistic_seed_1415.pkl,100,,urban_based,-0.1971440805384177
IDS_top50_urban_100_points_probabilistic_seed_42.pkl,100,,urban_based,-0.3534600912558461
IDS_top50_urban_100_points_probabilistic_seed_456.pkl,100,,urban_based,-0.1777141899191798
IDS_top50_urban_100_points_probabilistic_seed_5678.pkl,100,,urban_based,-0.102001152893957
IDS_top50_urban_100_points_probabilistic_seed_789.pkl,100,,urban_based,-0.1797328075054274
IDS_top50_urban_100_points_probabilistic_seed_9101.pkl,100,,urban_based,-0.3655203570482022
