filename,sample_size,seed,source,r2
IDS_region_28_300_points_seed_1.pkl,300,,region_based,-0.8676463060978628
IDS_region_28_300_points_seed_1213.pkl,300,,region_based,-0.7828853338952302
IDS_region_28_300_points_seed_123.pkl,300,,region_based,-0.6132531719535279
IDS_region_28_300_points_seed_1234.pkl,300,,region_based,-1.3965062654255005
IDS_region_28_300_points_seed_1415.pkl,300,,region_based,-0.8590503930859441
IDS_region_28_300_points_seed_42.pkl,300,,region_based,-0.8061318629819019
IDS_region_28_300_points_seed_456.pkl,300,,region_based,-1.302030853200483
IDS_region_28_300_points_seed_5678.pkl,300,,region_based,-5.949502660894
IDS_region_28_300_points_seed_789.pkl,300,,region_based,-0.9732103441854728
IDS_region_28_300_points_seed_9101.pkl,300,,region_based,-8.866085262714055
