label,Cost,Test R2
elevation,100.0,-0.6426189104340125
elevation,100.0,-0.6087892082611641
elevation,1000.0,0.023442061936813197
elevation,1001.0,0.022537707672988905
elevation,101.0,-0.6101262837381829
elevation,499.0,-0.06638242892125779
elevation,499.0,-0.02333365817069266
elevation,500.0,-0.06967164422451311
elevation,500.0,-0.020550796293183682
elevation,500.0,-0.06967164422451311
elevation,99.0,-0.6210332718923113
elevation,99.0,-0.5725905356726211
elevation,999.0,0.030501559075656326
elevation,999.0,0.015318075818749333
elevation,999.0,0.028731519791563187
population,100.0,0.1363385266487278
population,100.0,0.12859895479446404
population,100.0,0.15335293581497011
population,100.0,0.12859895479446404
population,100.0,0.1363385266487278
population,1000.0,0.36214672230968525
population,1000.0,0.36214672230968525
population,1000.0,0.3510462380914402
population,1000.0,0.35232659732238536
population,1000.0,0.36214672230968525
population,499.0,0.3153430171247603
population,499.0,0.3031746338591289
population,500.0,0.3021410170149825
population,500.0,0.29637230128784053
population,502.0,0.29455109082513475
treecover,100.0,0.528942942235661
treecover,100.0,0.5341396435150563
treecover,1000.0,0.752734395650947
treecover,1001.0,0.7553374609796074
treecover,101.0,0.5150082543349503
treecover,499.0,0.7258718807915856
treecover,499.0,0.7252065394051805
treecover,500.0,0.7273800843990694
treecover,500.0,0.7189926035651759
treecover,500.0,0.7273800843990694
treecover,99.0,0.5296095060873194
treecover,99.0,0.5344707954763623
treecover,999.0,0.7529507919497462
treecover,999.0,0.7559129895807299
treecover,999.0,0.7536476796933813
