filename,r2,strata,cluster_unit,points_per_cluster,sample_size,seed
IDs_state_strata_county_clusters_5_points_per_cluster_100_size_seed_1.pkl,0.738970545673921,state,county,5,100,1
IDs_state_strata_county_clusters_5_points_per_cluster_100_size_seed_1213.pkl,0.6792940409041837,state,county,5,100,1213
IDs_state_strata_county_clusters_5_points_per_cluster_100_size_seed_123.pkl,0.61016411914258,state,county,5,100,123
IDs_state_strata_county_clusters_5_points_per_cluster_100_size_seed_1234.pkl,0.7292919860264043,state,county,5,100,1234
IDs_state_strata_county_clusters_5_points_per_cluster_100_size_seed_1415.pkl,0.1340471086319034,state,county,5,100,1415
IDs_state_strata_county_clusters_5_points_per_cluster_100_size_seed_42.pkl,0.6374267968573899,state,county,5,100,42
IDs_state_strata_county_clusters_5_points_per_cluster_100_size_seed_456.pkl,0.6479822432913709,state,county,5,100,456
IDs_state_strata_county_clusters_5_points_per_cluster_100_size_seed_5678.pkl,0.7265704994571883,state,county,5,100,5678
IDs_state_strata_county_clusters_5_points_per_cluster_100_size_seed_789.pkl,0.7314005320404138,state,county,5,100,789
IDs_state_strata_county_clusters_5_points_per_cluster_100_size_seed_9101.pkl,0.6274164872148074,state,county,5,100,9101
