initial_set_str,sample_size,seed,r2
top20_urban_500_points,500,1,0.7411888264571627
top20_urban_500_points,500,5678,0.655726069473136
top20_urban_500_points,500,1213,0.6773078349272634
top20_urban_500_points,500,42,0.6835345048730396
top20_urban_500_points,500,789,0.6691858654142333
top20_urban_500_points,500,1415,0.7218071333734408
top20_urban_500_points,500,123,0.7159637012597895
top20_urban_500_points,500,456,0.7244873907323777
top20_urban_500_points,500,9101,0.6965144420961363
top20_urban_500_points,500,1234,0.6928503137051181
