initial_set_str,sample_size,seed,r2
top20_urban_200_points,200,1,0.6272511683718819
top20_urban_200_points,200,5678,0.6584179822217049
top20_urban_200_points,200,1213,0.6814120579347323
top20_urban_200_points,200,42,0.6678780835155271
top20_urban_200_points,200,789,0.6084047168949049
top20_urban_200_points,200,1415,0.5611159986328751
top20_urban_200_points,200,123,0.6739056683193363
top20_urban_200_points,200,456,0.5799836399491524
top20_urban_200_points,200,9101,0.4744209829321579
top20_urban_200_points,200,1234,0.6566602590732665
