filename,r2,strata,cluster_unit,points_per_cluster,sample_size,seed
IDs_state_strata_county_clusters_25_points_per_cluster_100_size_seed_1.pkl,0.3287145561255062,state,county,25,100,1
IDs_state_strata_county_clusters_25_points_per_cluster_100_size_seed_1213.pkl,0.2739725367597382,state,county,25,100,1213
IDs_state_strata_county_clusters_25_points_per_cluster_100_size_seed_123.pkl,0.1757249103854617,state,county,25,100,123
IDs_state_strata_county_clusters_25_points_per_cluster_100_size_seed_1234.pkl,-0.2902968506435406,state,county,25,100,1234
IDs_state_strata_county_clusters_25_points_per_cluster_100_size_seed_1415.pkl,-0.0740921941565562,state,county,25,100,1415
IDs_state_strata_county_clusters_25_points_per_cluster_100_size_seed_42.pkl,0.2629273767221982,state,county,25,100,42
IDs_state_strata_county_clusters_25_points_per_cluster_100_size_seed_456.pkl,0.3685986841297838,state,county,25,100,456
IDs_state_strata_county_clusters_25_points_per_cluster_100_size_seed_5678.pkl,0.4607309965891626,state,county,25,100,5678
IDs_state_strata_county_clusters_25_points_per_cluster_100_size_seed_789.pkl,0.1930633893241847,state,county,25,100,789
IDs_state_strata_county_clusters_25_points_per_cluster_100_size_seed_9101.pkl,-0.2042551890621833,state,county,25,100,9101
