initial_set_str,sample_size,seed,r2
5_fixedstrata_10ppc_200_size,200,1,0.6680137004210966
5_fixedstrata_10ppc_200_size,200,5678,0.7303815869929464
5_fixedstrata_10ppc_200_size,200,1213,0.6737295649507196
5_fixedstrata_10ppc_200_size,200,42,0.5782620117725012
5_fixedstrata_10ppc_200_size,200,789,0.5627223215418709
5_fixedstrata_10ppc_200_size,200,1415,0.6555420032290016
5_fixedstrata_10ppc_200_size,200,123,0.612869790232526
5_fixedstrata_10ppc_200_size,200,456,0.7313099350869956
5_fixedstrata_10ppc_200_size,200,9101,0.5590946151343824
5_fixedstrata_10ppc_200_size,200,1234,0.5451955100629271
