initial_set_str,sample_size,seed,r2
5_fixedstrata_10ppc_100_size,100,1,0.4515742094575521
5_fixedstrata_10ppc_100_size,100,5678,0.6646147485990814
5_fixedstrata_10ppc_100_size,100,1213,0.4290517181312983
5_fixedstrata_10ppc_100_size,100,42,0.6016366612972033
5_fixedstrata_10ppc_100_size,100,789,0.3092684657316685
5_fixedstrata_10ppc_100_size,100,1415,0.4837788909247971
5_fixedstrata_10ppc_100_size,100,123,0.4419427690563353
5_fixedstrata_10ppc_100_size,100,456,0.681513436982338
5_fixedstrata_10ppc_100_size,100,9101,0.6157061506982973
5_fixedstrata_10ppc_100_size,100,1234,0.2929552540048882
