dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std
INDIA_SECC,urban_based_top20_urban_3000_points,uniform,100,0.09,0.0,0.17,0.0
INDIA_SECC,urban_based_top20_urban_3000_points,uniform,500,0.09,0.0,0.28,0.0
INDIA_SECC,urban_based_top20_urban_3000_points,uniform,1000,0.09,0.0,0.34,0.0
INDIA_SECC,urban_based_top20_urban_3000_points,uniform,1500,0.09,0.0,0.36,0.0
INDIA_SECC,urban_based_top20_urban_3000_points,uniform,2000,0.09,0.0,0.25,0.0
INDIA_SECC,urban_based_top20_urban_3000_points,uniform,3000,0.09,0.0,0.38,0.0
INDIA_SECC,urban_based_top20_urban_3000_points,uniform,4000,0.09,0.0,0.41,0.0
INDIA_SECC,urban_based_top20_urban_3000_points,uniform,5000,0.09,0.0,0.43,0.0
