dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,diversity_updated_r2_mean,diversity_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std,similarity_updated_r2_mean,similarity_updated_r2_std,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_dists_from_urban_tiers_0.5_updated_r2_mean,poprisk_dists_from_urban_tiers_0.5_updated_r2_std,poprisk_nlcd_1.0_updated_r2_mean,poprisk_nlcd_1.0_updated_r2_std
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,10,0.01,0.2,0.09,0.2,,,0.1,0.12,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,20,0.01,0.2,0.07,0.2,-0.01,0.27,0.01,0.36,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,30,0.01,0.2,0.13,0.18,-0.01,0.28,-0.01,0.34,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,40,0.01,0.2,0.17,0.14,0.08,0.26,-0.18,0.52,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,50,-0.0,0.26,0.13,0.12,0.11,0.29,-0.11,0.5,0.24,0.15,0.16,0.23,0.29,0.19,0.19,0.23
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,60,0.01,0.2,0.1,0.14,0.16,0.27,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,70,0.01,0.2,0.13,0.13,0.16,0.27,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,80,0.01,0.2,0.09,0.15,0.19,0.22,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,90,0.01,0.2,0.22,0.1,0.19,0.22,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,100,-0.0,0.26,0.15,0.21,0.19,0.22,0.25,0.16,0.22,0.24,0.3,0.11,,,0.31,0.07
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,200,-0.0,0.26,0.17,0.31,,,0.36,0.05,0.27,0.1,0.36,0.08,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,300,-0.0,0.26,0.22,0.18,,,0.4,0.02,0.37,0.06,0.43,0.06,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,400,-0.0,0.26,0.32,0.1,,,0.42,0.04,0.4,0.05,0.47,0.02,,,,
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,500,-0.02,0.28,0.54,0.07,0.44,0.05,0.44,0.04,0.4,0.04,0.47,0.02,,,0.47,0.02
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,1000,-0.02,0.28,0.57,0.05,0.51,0.02,0.48,0.04,0.45,0.03,0.53,0.01,,,0.52,0.03
USAVARS_POP,5_fixedstrata_10ppc_100_size,cluster_based_c1_10_c2_20,5000,-0.02,0.28,0.65,0.05,0.61,0.01,0.6,0.01,0.53,0.01,0.62,0.0,0.68,0.02,0.62,0.01
