dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,random_updated_r2_mean,random_updated_r2_std
USAVARS_TC,top20_urban_100_points,convenience_based_top20_urban_0.01,50,0.47,0.19,,,0.6,0.11
USAVARS_TC,top20_urban_100_points,convenience_based_top20_urban_0.01,75,0.47,0.19,,,0.63,0.08
USAVARS_TC,top20_urban_100_points,convenience_based_top20_urban_0.01,100,0.47,0.19,0.56,0.08,0.65,0.08
USAVARS_TC,top20_urban_100_points,convenience_based_top20_urban_0.01,200,0.47,0.19,0.64,0.04,,
USAVARS_TC,top20_urban_100_points,convenience_based_top20_urban_0.01,250,0.47,0.19,,,0.73,0.05
USAVARS_TC,top20_urban_100_points,convenience_based_top20_urban_0.01,300,0.47,0.19,0.64,0.05,,
USAVARS_TC,top20_urban_100_points,convenience_based_top20_urban_0.01,400,0.47,0.19,0.68,0.03,,
USAVARS_TC,top20_urban_100_points,convenience_based_top20_urban_0.01,500,0.47,0.19,0.69,0.03,0.76,0.03
USAVARS_TC,top20_urban_100_points,convenience_based_top20_urban_0.01,1000,0.47,0.19,0.74,0.01,0.8,0.02
