dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,similarity_updated_r2_mean,similarity_updated_r2_std,poprisk_nlcd_1.0_updated_r2_mean,poprisk_nlcd_1.0_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std
USAVARS_TC,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,10,0.72,0.02,0.73,0.02,0.73,0.03,0.74,0.02,0.73,0.02,,
USAVARS_TC,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,20,0.72,0.02,0.73,0.04,0.75,0.02,0.75,0.02,0.75,0.03,,
USAVARS_TC,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,30,0.72,0.02,0.74,0.04,0.76,0.02,0.76,0.02,0.75,0.02,,
USAVARS_TC,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,40,0.72,0.02,0.76,0.01,0.76,0.02,0.77,0.01,0.75,0.03,,
USAVARS_TC,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,50,0.72,0.02,0.77,0.02,0.74,0.03,0.77,0.01,0.76,0.02,,
USAVARS_TC,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,60,0.72,0.02,0.78,0.02,0.75,0.03,0.77,0.01,0.77,0.02,,
USAVARS_TC,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,70,0.72,0.02,0.76,0.03,0.76,0.02,0.78,0.02,0.77,0.02,,
USAVARS_TC,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,80,0.72,0.02,0.78,0.01,0.76,0.02,0.78,0.02,0.77,0.02,,
USAVARS_TC,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,90,0.72,0.02,0.79,0.01,0.77,0.01,0.79,0.02,0.78,0.02,,
USAVARS_TC,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,100,0.69,0.07,0.79,0.01,0.78,0.01,0.8,0.01,0.78,0.02,0.79,0.01
USAVARS_TC,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,200,0.69,0.07,0.81,0.01,0.75,0.03,,,0.79,0.02,0.81,0.0
USAVARS_TC,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,300,0.69,0.07,0.82,0.01,0.76,0.04,,,0.81,0.01,0.83,0.01
USAVARS_TC,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,400,0.69,0.07,0.83,0.01,0.78,0.04,,,0.82,0.01,0.84,0.01
USAVARS_TC,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,500,0.69,0.07,0.84,0.01,0.85,0.01,0.85,0.01,0.83,0.01,0.85,0.01
USAVARS_TC,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,1000,0.69,0.07,0.87,0.0,0.87,0.0,0.87,0.0,0.86,0.0,0.87,0.01
USAVARS_TC,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,5000,0.72,0.02,0.9,0.0,0.9,0.0,0.9,0.0,0.9,0.0,,
