dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,similarity_updated_r2_mean,similarity_updated_r2_std,poprisk_nlcd_1.0_updated_r2_mean,poprisk_nlcd_1.0_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std
USAVARS_TC,5_fixedstrata_10ppc_100_size,uniform,10,0.45,0.0,0.55,0.0,0.34,0.0,0.47,0.0,0.59,0.0,,
USAVARS_TC,5_fixedstrata_10ppc_100_size,uniform,20,0.45,0.0,0.71,0.0,0.52,0.0,0.3,0.0,0.7,0.0,,
USAVARS_TC,5_fixedstrata_10ppc_100_size,uniform,30,0.45,0.0,0.63,0.0,0.58,0.0,0.51,0.0,0.72,0.0,,
USAVARS_TC,5_fixedstrata_10ppc_100_size,uniform,40,0.45,0.0,0.68,0.0,0.66,0.0,0.71,0.0,0.73,0.0,,
USAVARS_TC,5_fixedstrata_10ppc_100_size,uniform,50,0.45,0.0,0.56,0.0,0.63,0.0,0.73,0.0,0.64,0.0,,
USAVARS_TC,5_fixedstrata_10ppc_100_size,uniform,60,0.45,0.0,0.67,0.0,0.67,0.0,0.74,0.0,0.62,0.0,,
USAVARS_TC,5_fixedstrata_10ppc_100_size,uniform,70,0.45,0.0,0.73,0.0,0.63,0.0,0.76,0.0,0.74,0.0,,
USAVARS_TC,5_fixedstrata_10ppc_100_size,uniform,80,0.45,0.0,0.76,0.0,0.62,0.0,0.73,0.0,0.76,0.0,,
USAVARS_TC,5_fixedstrata_10ppc_100_size,uniform,90,0.45,0.0,0.7,0.0,0.65,0.0,0.74,0.0,0.76,0.0,,
USAVARS_TC,5_fixedstrata_10ppc_100_size,uniform,100,0.37,0.08,0.76,0.0,0.61,0.0,0.75,0.0,0.77,0.0,0.76,0.01
USAVARS_TC,5_fixedstrata_10ppc_100_size,uniform,200,0.37,0.08,0.8,0.0,,,,,0.8,0.0,0.81,0.0
USAVARS_TC,5_fixedstrata_10ppc_100_size,uniform,300,0.37,0.08,0.82,0.0,,,,,0.81,0.0,0.82,0.0
USAVARS_TC,5_fixedstrata_10ppc_100_size,uniform,400,0.37,0.08,0.83,0.0,,,,,0.82,0.0,0.83,0.0
USAVARS_TC,5_fixedstrata_10ppc_100_size,uniform,500,0.37,0.08,0.83,0.0,0.84,0.0,0.85,0.0,0.83,0.0,0.84,0.01
USAVARS_TC,5_fixedstrata_10ppc_100_size,uniform,1000,0.37,0.08,0.86,0.0,0.86,0.0,0.87,0.0,0.87,0.0,0.87,0.0
USAVARS_TC,5_fixedstrata_10ppc_100_size,uniform,5000,0.45,0.0,0.9,0.0,0.9,0.0,0.9,0.0,0.9,0.0,,
