dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,poprisk_dists_from_urban_tiers_0.5_updated_r2_mean,poprisk_dists_from_urban_tiers_0.5_updated_r2_std
USAVARS_POP_MULTIPLE,convenience_based_linear_top20_urban_0.001,opt,1000,-0.18,0.22,-0.13,0.09
USAVARS_POP_MULTIPLE,convenience_based_linear_top20_urban_0.001,opt,10000,-0.18,0.22,-0.11,0.05
