dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,similarity_updated_r2_mean,similarity_updated_r2_std
INDIA_SECC,5_state_district_desired_30ppc_2000_size,cluster_based_c1_20_c2_30,1000,-1.15,1.5,0.13,0.18
INDIA_SECC,5_state_district_desired_30ppc_2000_size,cluster_based_c1_20_c2_30,2000,-1.15,1.5,0.31,0.02
INDIA_SECC,5_state_district_desired_30ppc_2000_size,cluster_based_c1_20_c2_30,3000,-1.15,1.5,0.33,0.07
INDIA_SECC,5_state_district_desired_30ppc_2000_size,cluster_based_c1_20_c2_30,4000,-1.15,1.5,0.38,0.02
INDIA_SECC,5_state_district_desired_30ppc_2000_size,cluster_based_c1_20_c2_30,5000,-1.15,1.5,0.39,0.02
