dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,poprisk_states_0.5_updated_r2_mean,poprisk_states_0.5_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std
INDIA_SECC,10_state_district_desired_20ppc_2000_size,uniform,100,0.12,0.01,0.15,0.0,0.02,0.0,0.15,0.0
INDIA_SECC,10_state_district_desired_20ppc_2000_size,uniform,500,0.12,0.01,0.19,0.02,0.02,0.0,0.15,0.0
INDIA_SECC,10_state_district_desired_20ppc_2000_size,uniform,1000,0.12,0.01,0.13,0.07,0.14,0.0,0.34,0.0
INDIA_SECC,10_state_district_desired_20ppc_2000_size,uniform,1500,0.12,0.01,0.31,0.04,0.07,0.0,0.36,0.0
INDIA_SECC,10_state_district_desired_20ppc_2000_size,uniform,2000,0.12,0.01,0.3,0.08,0.05,0.0,0.39,0.0
INDIA_SECC,10_state_district_desired_20ppc_2000_size,uniform,3000,0.12,0.01,0.38,0.0,0.14,0.0,0.4,0.0
INDIA_SECC,10_state_district_desired_20ppc_2000_size,uniform,4000,0.11,0.0,0.36,0.0,0.26,0.0,0.41,0.0
INDIA_SECC,10_state_district_desired_20ppc_2000_size,uniform,5000,0.11,0.0,0.42,0.0,0.3,0.0,0.41,0.0
