dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std
INDIA_SECC,urban_based_top20_urban_4000_points,convenience_based,100,0.16,0.0,0.18,0.0
INDIA_SECC,urban_based_top20_urban_4000_points,convenience_based,500,0.16,0.0,0.22,0.0
INDIA_SECC,urban_based_top20_urban_4000_points,convenience_based,1000,0.16,0.0,0.25,0.0
INDIA_SECC,urban_based_top20_urban_4000_points,convenience_based,1500,0.16,0.0,0.28,0.0
INDIA_SECC,urban_based_top20_urban_4000_points,convenience_based,2000,0.16,0.0,0.27,0.0
INDIA_SECC,urban_based_top20_urban_4000_points,convenience_based,3000,0.16,0.0,0.3,0.0
INDIA_SECC,urban_based_top20_urban_4000_points,convenience_based,4000,0.16,0.0,0.3,0.0
INDIA_SECC,urban_based_top20_urban_4000_points,convenience_based,5000,0.16,0.0,0.33,0.0
