dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std
USAVARS_TC,5_fixedstrata_10ppc_200_size,uniform,100,0.55,0.0,0.81,0.0
USAVARS_TC,5_fixedstrata_10ppc_200_size,uniform,200,0.55,0.0,0.82,0.0
USAVARS_TC,5_fixedstrata_10ppc_200_size,uniform,300,0.55,0.0,0.83,0.0
USAVARS_TC,5_fixedstrata_10ppc_200_size,uniform,400,0.55,0.0,0.84,0.0
USAVARS_TC,5_fixedstrata_10ppc_200_size,uniform,500,0.55,0.0,0.85,0.0
USAVARS_TC,5_fixedstrata_10ppc_200_size,uniform,1000,0.55,0.0,0.87,0.0
