dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,similarity_updated_r2_mean,similarity_updated_r2_std,poprisk_nlcd_1.0_updated_r2_mean,poprisk_nlcd_1.0_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,10,0.63,0.07,0.66,0.07,0.66,0.13,0.65,0.1,0.66,0.07,,
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,20,0.63,0.07,0.65,0.14,0.7,0.08,0.7,0.07,0.65,0.12,,
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,30,0.63,0.07,0.71,0.04,0.68,0.09,0.75,0.02,0.68,0.07,,
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,40,0.63,0.07,0.73,0.04,0.68,0.11,0.76,0.02,0.72,0.05,,
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,50,0.63,0.07,0.72,0.05,0.69,0.09,0.77,0.01,0.73,0.05,,
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,60,0.63,0.07,0.77,0.02,0.7,0.07,0.78,0.02,0.74,0.05,,
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,70,0.63,0.07,0.76,0.03,0.72,0.07,0.77,0.02,0.74,0.06,,
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,80,0.63,0.07,0.76,0.01,0.71,0.06,0.77,0.02,0.75,0.05,,
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,90,0.63,0.07,0.77,0.02,0.73,0.07,0.78,0.01,0.75,0.05,,
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,100,0.63,0.07,0.78,0.02,0.76,0.02,0.78,0.01,0.76,0.04,0.75,0.08
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,200,0.63,0.07,0.8,0.01,0.74,0.05,,,0.78,0.05,0.79,0.02
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,300,0.63,0.07,0.81,0.01,0.74,0.06,,,0.8,0.03,0.82,0.01
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,400,0.63,0.07,0.82,0.01,0.76,0.05,,,0.81,0.02,0.82,0.02
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,500,0.63,0.07,0.83,0.01,0.84,0.01,0.85,0.0,0.82,0.02,0.84,0.02
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,1000,0.63,0.07,0.86,0.01,0.87,0.0,0.87,0.0,0.86,0.01,0.86,0.02
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,5000,0.63,0.07,0.9,0.0,0.9,0.0,0.9,0.0,0.9,0.0,,
