dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,similarity_updated_r2_mean,similarity_updated_r2_std
INDIA_SECC,5_state_district_desired_30ppc_4000_size,cluster_based_c1_20_c2_30,1000,-0.19,0.22,0.24,0.1
INDIA_SECC,5_state_district_desired_30ppc_4000_size,cluster_based_c1_20_c2_30,2000,-0.19,0.22,0.33,0.03
INDIA_SECC,5_state_district_desired_30ppc_4000_size,cluster_based_c1_20_c2_30,3000,-0.19,0.22,0.34,0.06
INDIA_SECC,5_state_district_desired_30ppc_4000_size,cluster_based_c1_20_c2_30,4000,-0.19,0.22,0.38,0.02
INDIA_SECC,5_state_district_desired_30ppc_4000_size,cluster_based_c1_20_c2_30,5000,-0.19,0.22,0.4,0.02
