dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std
USAVARS_TC,top20_urban_500_points,convenience_based_top20_urban_0.01,50,0.7,0.03,0.72,0.03
USAVARS_TC,top20_urban_500_points,convenience_based_top20_urban_0.01,75,0.7,0.03,0.73,0.03
USAVARS_TC,top20_urban_500_points,convenience_based_top20_urban_0.01,100,0.7,0.03,0.73,0.04
USAVARS_TC,top20_urban_500_points,convenience_based_top20_urban_0.01,250,0.7,0.03,0.77,0.03
USAVARS_TC,top20_urban_500_points,convenience_based_top20_urban_0.01,500,0.7,0.03,0.79,0.03
USAVARS_TC,top20_urban_500_points,convenience_based_top20_urban_0.01,1000,0.7,0.03,0.81,0.02
