dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std
TOGO_P_2022_JUL_DEC_P20,2_strata_desired_25ppc_2800_size,uniform,1000,-0.05,0.0,0.06,0.0,0.06,0.0
TOGO_P_2022_JUL_DEC_P20,2_strata_desired_25ppc_2800_size,uniform,2000,-0.05,0.0,0.08,0.0,0.08,0.0
TOGO_P_2022_JUL_DEC_P20,2_strata_desired_25ppc_2800_size,uniform,3000,-0.05,0.0,0.09,0.0,0.1,0.0
TOGO_P_2022_JUL_DEC_P20,2_strata_desired_25ppc_2800_size,uniform,4000,-0.05,0.0,0.11,0.0,,
TOGO_P_2022_JUL_DEC_P20,2_strata_desired_25ppc_2800_size,uniform,5000,-0.05,0.0,0.12,0.0,,
