dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,similarity_updated_r2_mean,similarity_updated_r2_std
INDIA_SECC,5_state_district_desired_20ppc_4000_size,cluster_based_c1_20_c2_30,1000,-0.4,0.77,0.16,0.25
INDIA_SECC,5_state_district_desired_20ppc_4000_size,cluster_based_c1_20_c2_30,2000,-0.4,0.77,0.31,0.03
INDIA_SECC,5_state_district_desired_20ppc_4000_size,cluster_based_c1_20_c2_30,3000,-0.4,0.77,0.33,0.04
INDIA_SECC,5_state_district_desired_20ppc_4000_size,cluster_based_c1_20_c2_30,4000,-0.4,0.77,0.37,0.05
INDIA_SECC,5_state_district_desired_20ppc_4000_size,cluster_based_c1_20_c2_30,5000,-0.4,0.77,0.4,0.02
